time,voltage1,voltage2,current1,current2,frequency,active_power
0,107.2725,111.61125,0.10999999999999999,0.03,60.0,1374388.5872000002
1,0.26999999999999996,0.26999999999999996,0.005,0.005,60.0,0.0
2,0.26625,0.26999999999999996,0.005,0.005,138.43200000000002,1374389.5344
3,0.26999999999999996,0.26999999999999996,0.005,0.005,135.084,0.0
4,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,1374389.5344
5,0.26999999999999996,0.26999999999999996,0.005,0.005,90.588,1374389.5344
6,0.26999999999999996,0.26999999999999996,0.005,0.005,142.08,1374389.5344
7,0.26999999999999996,0.26999999999999996,0.005,0.005,103.84800000000001,1374389.5344
8,0.26625,0.26999999999999996,0.005,0.005,146.004,0.0
9,0.26999999999999996,0.26999999999999996,0.005,0.005,136.044,1374389.5344
10,0.26999999999999996,0.26999999999999996,0.005,0.005,116.05199999999999,0.0
11,0.26999999999999996,0.26999999999999996,0.005,0.005,149.55599999999998,1374389.5344
12,0.26999999999999996,0.26999999999999996,0.005,0.005,146.35199999999998,1374389.5344
13,0.26625,0.26999999999999996,0.005,0.005,126.73200000000001,1374389.5344
14,0.26999999999999996,0.26999999999999996,0.005,0.005,109.512,1374389.5344
15,0.26999999999999996,0.26999999999999996,0.005,0.005,63.456,1374389.5344
16,0.26999999999999996,0.26999999999999996,0.005,0.005,104.88,0.0
17,0.26999999999999996,0.26999999999999996,0.005,0.005,146.136,0.0
18,0.26999999999999996,0.26999999999999996,0.005,0.005,77.088,0.0
19,0.26999999999999996,0.26999999999999996,0.005,0.005,148.548,0.0
20,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
21,0.26625,0.26999999999999996,0.005,0.005,144.492,1374389.5344
22,0.26999999999999996,0.26999999999999996,0.005,0.005,100.68,0.0
23,0.26999999999999996,0.26999999999999996,0.005,0.005,91.176,0.0
24,0.26999999999999996,0.26999999999999996,0.005,0.005,98.38799999999999,1374389.5344
25,0.26999999999999996,0.26999999999999996,0.005,0.005,70.452,1374389.5344
26,0.26999999999999996,0.26999999999999996,0.005,0.005,87.192,0.0
27,0.26999999999999996,0.26999999999999996,0.005,0.005,98.772,1374389.5344
28,0.26999999999999996,0.26999999999999996,0.005,0.005,134.25599999999997,0.0
29,0.26999999999999996,0.26999999999999996,0.005,0.005,81.012,0.0
30,0.26999999999999996,0.26999999999999996,0.005,0.005,90.192,0.0
31,0.26999999999999996,0.26999999999999996,0.005,0.005,96.50399999999999,0.0
32,0.26999999999999996,0.26625,0.005,0.005,83.36399999999999,1374389.5344
33,0.26999999999999996,0.26999999999999996,0.005,0.005,99.804,1374389.5344
34,0.26999999999999996,0.26999999999999996,0.005,0.005,135.084,1374389.5344
35,0.26625,0.26625,0.005,0.005,99.384,0.0
36,0.26999999999999996,0.26999999999999996,0.005,0.005,130.224,0.0
37,0.26625,0.26625,0.005,0.005,132.18,1374389.5344
38,0.26999999999999996,0.26999999999999996,0.005,0.005,91.5,0.0
39,0.26999999999999996,0.26999999999999996,0.005,0.005,149.55599999999998,1374389.5344
40,0.26625,0.26625,0.005,0.005,132.348,1374389.5344
41,0.26999999999999996,0.26999999999999996,0.005,0.005,84.9,1374389.5344
42,0.26625,0.26625,0.005,0.005,106.476,0.0
43,0.26999999999999996,0.27375,0.005,0.005,145.10399999999998,1374389.5344
44,0.26999999999999996,0.26999999999999996,0.005,0.005,99.92399999999999,0.0
45,0.26625,0.26999999999999996,0.005,0.005,91.476,1374389.5344
46,0.26625,0.26625,0.005,0.005,146.7,1374389.5344
47,0.26999999999999996,0.26999999999999996,0.005,0.005,78.516,0.0
48,0.26625,0.26625,0.005,0.005,133.68,0.0
49,0.26999999999999996,0.26999999999999996,0.005,0.005,146.28,1374389.5344
50,0.26999999999999996,0.26999999999999996,0.005,0.005,82.54800000000002,1374389.5344
51,0.26999999999999996,0.26999999999999996,0.005,0.005,78.708,0.0
52,0.26999999999999996,0.26999999999999996,0.005,0.005,78.66,1374389.5344
53,0.26999999999999996,0.26999999999999996,0.005,0.005,92.304,0.0
54,0.26999999999999996,0.26999999999999996,0.005,0.005,147.048,1374389.5344
55,0.26999999999999996,0.26999999999999996,0.005,0.005,141.036,1374389.5344
56,0.26999999999999996,0.26999999999999996,0.005,0.005,122.82,1374389.5344
57,0.26999999999999996,0.26999999999999996,0.005,0.005,133.21200000000002,0.0
58,0.26999999999999996,0.26999999999999996,0.005,0.005,143.67600000000002,1374389.5344
59,0.26625,0.26999999999999996,0.005,0.005,149.7,1374389.5344
