time,voltage1,voltage2,current1,current2,frequency,active_power
0,109.65,113.98875000000001,0.08999999999999998,0.024999999999999998,60.0,1374389.01728
1,0.26999999999999996,0.26999999999999996,0.005,0.005,60.0,0.0
2,0.26999999999999996,0.26999999999999996,0.005,0.005,98.17200000000001,1374389.5344
3,0.26999999999999996,0.26999999999999996,0.005,0.005,83.4,0.0
4,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
5,0.26625,0.26625,0.005,0.005,106.512,0.0
6,0.26999999999999996,0.26999999999999996,0.005,0.005,97.392,0.0
7,0.26625,0.26625,0.005,0.005,146.55599999999998,0.0
8,0.26625,0.26625,0.005,0.005,135.384,1374389.5344
9,0.26625,0.26625,0.005,0.005,94.87200000000001,0.0
10,0.26999999999999996,0.26999999999999996,0.005,0.005,88.45199999999998,1374389.5344
11,0.26999999999999996,0.26999999999999996,0.005,0.005,144.28799999999998,1374389.5344
12,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
13,0.26999999999999996,0.26999999999999996,0.005,0.005,86.29199999999999,0.0
14,0.26625,0.26625,0.005,0.005,144.36,1374389.5344
15,0.26625,0.26625,0.005,0.005,144.768,0.0
16,0.26625,0.26625,0.005,0.005,77.196,1374389.5344
17,0.26625,0.26625,0.005,0.005,88.248,0.0
18,0.26625,0.26625,0.005,0.005,149.7,0.0
19,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,0.0
20,0.26999999999999996,0.26999999999999996,0.005,0.005,111.82799999999999,1374389.5344
21,0.26999999999999996,0.26999999999999996,0.005,0.005,108.084,1374389.5344
22,0.26999999999999996,0.26999999999999996,0.005,0.005,62.832,1374389.5344
23,0.26999999999999996,0.26625,0.005,0.005,75.384,0.0
24,0.26625,0.26999999999999996,0.005,0.005,119.436,1374389.5344
25,0.26625,0.26625,0.005,0.005,97.584,0.0
26,0.26999999999999996,0.26999999999999996,0.005,0.005,82.64400000000002,1374389.5344
27,0.26999999999999996,0.26999999999999996,0.005,0.005,76.068,1374389.5344
28,0.26625,0.26625,0.005,0.005,120.516,0.0
29,0.26625,0.26999999999999996,0.005,0.005,105.45599999999999,1374389.5344
30,0.26625,0.26625,0.005,0.005,142.548,0.0
31,0.26999999999999996,0.26625,0.005,0.005,109.54800000000002,0.0
32,0.26625,0.26625,0.005,0.005,115.44,1374389.5344
33,0.26999999999999996,0.26999999999999996,0.005,0.005,149.052,1374389.5344
34,0.26999999999999996,0.26999999999999996,0.005,0.005,139.05599999999998,0.0
35,0.26999999999999996,0.26999999999999996,0.005,0.005,88.45199999999998,1374389.5344
36,0.26625,0.26625,0.005,0.005,107.94,0.0
37,0.26625,0.26625,0.005,0.005,106.62,0.0
38,0.26625,0.26625,0.005,0.005,142.02,1374389.5344
39,0.26625,0.26625,0.005,0.005,78.71999999999998,0.0
40,0.26625,0.26999999999999996,0.005,0.005,85.77600000000001,1374389.5344
41,0.26625,0.26999999999999996,0.005,0.005,141.828,1374389.5344
42,0.26625,0.26999999999999996,0.005,0.005,141.888,0.0
43,0.26625,0.26625,0.005,0.005,131.328,1374389.5344
44,0.26625,0.26625,0.005,0.005,147.54,0.0
45,0.26625,0.26999999999999996,0.005,0.005,83.4,0.0
46,0.26999999999999996,0.26999999999999996,0.005,0.005,94.896,1374389.5344
47,0.26625,0.26625,0.005,0.005,106.95599999999999,1374389.5344
48,0.26625,0.26625,0.005,0.005,97.764,1374389.5344
49,0.26999999999999996,0.26999999999999996,0.005,0.005,145.86,1374389.5344
50,0.26999999999999996,0.26999999999999996,0.005,0.005,55.536,0.0
51,0.26625,0.26625,0.005,0.005,76.64399999999999,0.0
52,0.26999999999999996,0.26999999999999996,0.005,0.005,149.7,1374389.5344
53,0.26625,0.26625,0.005,0.005,138.25199999999998,1374389.5344
54,0.26625,0.26625,0.005,0.005,142.548,1374389.5344
55,0.26625,0.26625,0.005,0.005,113.016,0.0
56,0.26625,0.26625,0.005,0.005,135.204,0.0
57,0.26999999999999996,0.27375,0.005,0.005,107.02799999999999,1374389.5344
58,0.26625,0.26625,0.005,0.005,134.964,1374389.5344
59,0.26625,0.26625,0.005,0.005,134.14800000000002,0.0
