time,voltage,current,frequency,power
0,51.705,0.159,60.0,8.221095
1,102.298125,0.397,60.0,40.612355625
2,109.08374999999998,0.484,60.0,52.79653499999999
3,94.00874999999999,0.357,60.0,33.56112374999999
4,85.67625000000001,0.307,60.0,26.30260875
5,108.13125,0.468,60.0,50.605425
6,101.675625,0.406,60.0,41.28030375
7,86.22937499999999,0.316,60.0,27.248482499999998
8,108.20625,0.459,60.0,49.66666875
9,108.136875,0.473,60.0,51.148741875
10,109.81875,0.287,60.0,31.517981249999995
11,108.144375,0.465,60.0,50.287134375
12,108.13312500000002,0.472,60.0,51.038835000000006
13,108.13312500000002,0.472,786.42,51.038835000000006
14,106.87875,0.43,60.0,45.9578625
15,108.06187500000001,0.463,60.0,50.03264812500001
16,87.0525,0.325,60.0,28.2920625
17,108.06000000000002,0.455,60.0,49.16730000000001
18,107.983125,0.458,60.0,49.45627125
19,107.82562500000002,0.462,60.0,49.81543875000001
20,108.54937499999998,0.48,60.0,52.10369999999999
21,108.4125,0.468,60.0,50.73705
22,93.549375,0.327,60.0,30.590645625
23,101.02687499999999,0.411,60.0,41.522045625
24,101.3475,0.407,60.0,41.24843249999999
25,107.9025,0.449,60.0,48.4482225
26,82.790625,0.309,60.0,25.582303125000003
27,105.62437500000001,0.42,60.0,44.362237500000006
28,107.9025,0.46,60.0,49.63515
29,81.9,0.273,60.0,22.358700000000002
30,101.349375,0.393,60.0,39.830304375
31,105.84937499999998,0.416,60.0,44.03333999999999
32,78.174375,0.288,60.0,22.514219999999998
33,107.9025,0.518,60.0,55.893495
34,107.9775,0.53,60.0,57.228075000000004
35,83.094375,0.298,60.0,24.762123749999997
36,107.904375,0.521,60.0,56.218179375000005
37,107.9025,0.527,60.0,56.8646175
38,107.983125,0.523,60.0,56.475174375
39,109.2825,0.552,60.0,60.32394000000001
40,100.351875,0.395,60.0,39.638990625000005
41,94.003125,0.408,60.0,38.353275
42,93.553125,0.365,60.0,34.146890625
43,96.16125000000001,0.387,60.0,37.21440375
44,101.3475,0.399,60.0,40.4376525
45,83.67375,0.283,60.0,23.67967125
46,85.389375,0.286,60.0,24.421361249999997
47,107.821875,0.497,60.0,53.587471875000006
48,85.389375,0.333,60.0,28.434661875000003
49,108.27562500000002,0.504,60.0,54.570915000000014
50,108.613125,0.517,60.0,56.152985625
51,87.31687500000001,0.328,60.0,28.639935000000005
52,108.545625,0.479,60.0,51.993354374999996
53,107.14500000000001,0.435,60.0,46.60807500000001
54,86.775,0.329,60.0,28.548975000000002
55,108.613125,0.482,60.0,52.35152625
56,108.67125000000001,0.467,60.0,50.74947375000001
57,104.14500000000001,0.415,60.0,43.220175000000005
58,107.83125,0.461,60.0,49.71020625
59,104.7825,0.431,60.0,45.1612575
60,97.78875,0.361,60.0,35.30173875
61,85.39125,0.309,60.0,26.38589625
62,107.65687499999999,0.468,60.0,50.38341749999999
63,108.47437499999998,0.488,60.0,52.93549499999999
64,95.10187499999999,0.354,60.0,33.66606374999999
65,94.884375,0.366,60.0,34.72768125
66,108.47999999999999,0.479,60.0,51.96191999999999
67,79.753125,0.289,60.0,23.048653124999998
68,92.150625,0.329,60.0,30.317555625000004
69,106.26375,0.429,60.0,45.58714875
70,79.753125,0.264,60.0,21.054825
71,107.139375,0.602,60.0,64.49790374999999
72,108.545625,0.475,60.0,51.559171875
73,85.3875,0.295,60.0,25.1893125
74,85.3875,0.295,786.42,25.1893125
75,107.821875,0.461,60.0,49.705884375000004
76,92.390625,0.32,60.0,29.565
77,108.545625,0.488,60.0,52.970265
78,108.673125,0.475,60.0,51.619734375
79,108.6075,0.468,60.0,50.82831
80,108.6075,0.481,60.0,52.2402075
81,108.6075,0.49,60.0,53.217675
82,108.609375,0.474,60.0,51.48084375
83,95.1,0.38,60.0,36.138
84,108.609375,0.492,60.0,53.4358125
85,108.6075,0.475,60.0,51.5885625
86,87.31687500000001,0.336,60.0,29.338470000000004
87,107.9025,0.458,60.0,49.41934500000001
88,103.73999999999998,0.403,60.0,41.807219999999994
89,86.503125,0.291,60.0,25.172409374999997
90,108.96937499999999,0.479,60.0,52.19633062499999
91,68.28562500000001,0.25,60.0,17.071406250000003
92,79.44187500000001,0.268,60.0,21.290422500000005
93,107.81812499999998,0.471,60.0,50.78233687499999
94,107.81999999999998,0.489,60.0,52.72397999999999
95,85.38562499999999,0.339,60.0,28.945726875
96,107.743125,0.486,60.0,52.363158750000004
97,107.9025,0.488,60.0,52.65642
98,107.81999999999998,0.498,60.0,53.69435999999999
99,107.746875,0.498,60.0,53.65794375
100,107.81999999999998,0.491,60.0,52.93961999999999
101,101.668125,0.433,60.0,44.022298125
102,49.25625,0.158,60.0,7.7824875
103,107.975625,0.468,60.0,50.5325925
104,107.89875000000002,0.469,60.0,50.60451375000001
105,85.39125,0.325,60.0,27.752156250000002
106,107.82374999999999,0.477,60.0,51.43192874999999
107,108.54749999999999,0.487,60.0,52.86263249999999
108,50.887499999999996,0.164,60.0,8.34555
109,108.605625,0.479,60.0,52.022094375
110,108.54375,0.487,60.0,52.86080625
111,89.165625,0.317,60.0,28.265503125000002
112,80.0625,0.264,60.0,21.1365
113,80.36999999999999,0.309,60.0,24.834329999999998
114,87.050625,0.327,60.0,28.465554375
115,88.38562499999999,0.347,60.0,30.669811874999994
116,105.613125,0.43,60.0,45.41364375
117,101.50874999999999,0.424,60.0,43.03970999999999
118,107.821875,0.461,60.0,49.705884375000004
119,107.821875,0.462,60.0,49.81370625
120,105.49125,0.478,60.0,50.424817499999996
121,107.9025,0.472,60.0,50.92998
122,108.6075,0.476,60.0,51.69717
123,94.888125,0.351,60.0,33.305731875
124,94.4475,0.386,60.0,36.456735
125,108.54375,0.481,60.0,52.20954375
126,95.74499999999999,0.37,60.0,35.42565
127,87.32062499999999,0.33,60.0,28.815806249999998
128,108.41062500000001,0.476,60.0,51.603457500000005
129,106.07062500000002,0.433,60.0,45.92858062500001
130,83.9625,0.311,60.0,26.112337500000002
131,107.416875,0.445,60.0,47.800509375000004
132,107.416875,0.445,786.42,47.800509375000004
133,87.04875,0.311,60.0,27.07216125
134,87.050625,0.316,60.0,27.5079975
135,107.739375,0.492,60.0,53.007772499999994
136,108.54375,0.477,60.0,51.77536875
137,108.34312500000001,0.474,60.0,51.35464125000001
138,95.10375,0.379,60.0,36.04432125
139,91.655625,0.33,60.0,30.24635625
140,108.6075,0.47,60.0,51.045525
141,108.05437499999998,0.459,60.0,49.59695812499999
142,107.9025,0.464,60.0,50.06676
143,107.904375,0.467,60.0,50.391343125000006
144,106.873125,0.456,60.0,48.734145000000005
145,89.431875,0.29,60.0,25.935243749999998
146,77.85375,0.257,60.0,20.008413750000003
147,109.06499999999998,0.504,60.0,54.96875999999999
148,108.61125,0.465,60.0,50.504231250000004
149,84.54187499999999,0.289,60.0,24.432601874999996
150,108.541875,0.484,60.0,52.5342675
151,108.545625,0.466,60.0,50.58226125
152,87.04875,0.317,60.0,27.59445375
153,106.479375,0.425,60.0,45.253734375
154,108.61125,0.469,60.0,50.93867624999999
155,79.753125,0.314,60.0,25.042481249999998
156,109.11375000000001,0.486,60.0,53.0292825
157,108.913125,0.486,60.0,52.93177874999999
158,78.496875,0.257,60.0,20.173696875
159,104.66437500000002,0.41,60.0,42.91239375000001
160,96.77624999999999,0.379,60.0,36.67819875
161,101.51624999999999,0.395,60.0,40.098918749999996
162,106.86375000000001,0.46,60.0,49.15732500000001
163,105.50437500000001,0.432,60.0,45.577890000000004
164,105.729375,0.418,60.0,44.19487875
165,78.49312499999999,0.255,60.0,20.015746874999998
166,107.65687499999999,0.453,60.0,48.768564375
167,107.90062500000002,0.454,60.0,48.98688375000001
168,77.85375,0.285,60.0,22.18831875
169,49.25625,0.157,60.0,7.73323125
170,107.904375,0.454,60.0,48.988586250000004
171,85.389375,0.305,60.0,26.043759375
172,49.663125,0.161,60.0,7.995763125000001
173,107.9025,0.458,60.0,49.41934500000001
174,79.749375,0.296,60.0,23.605815
175,101.349375,0.404,60.0,40.9451475
176,105.73687499999998,0.431,60.0,45.57259312499999
177,109.27312499999998,0.483,60.0,52.77891937499999
178,107.84437499999999,0.453,60.0,48.85350187499999
179,70.790625,0.201,60.0,14.228915625000003
180,49.666875,0.153,60.0,7.599031875
181,106.760625,0.444,60.0,47.401717500000004
182,106.565625,0.446,60.0,47.52826875
183,49.663125,0.161,60.0,7.995763125000001
184,52.92,0.181,60.0,9.57852
185,107.90062500000002,0.471,60.0,50.821194375000005
186,49.663125,0.163,60.0,8.095089375
187,87.31875,0.324,60.0,28.291275
188,108.61125,0.469,60.0,50.93867624999999
189,51.3,0.165,60.0,8.4645
190,84.826875,0.294,60.0,24.93910125
191,107.98125,0.468,60.0,50.535225000000004
192,107.975625,0.463,60.0,49.992714375
193,49.666875,0.151,60.0,7.499698124999999
194,107.98125,0.454,60.0,49.0234875
195,107.9025,0.456,60.0,49.203540000000004
196,107.05125000000001,0.448,60.0,47.958960000000005
197,104.40562500000001,0.402,60.0,41.971061250000005
198,107.76000000000002,0.45,60.0,48.49200000000001
199,93.78,0.352,60.0,33.01056
200,79.753125,0.286,60.0,22.809393749999998
201,98.175,0.384,60.0,37.6992
202,110.175,0.545,60.0,60.045375
203,85.389375,0.28,60.0,23.909025000000003
204,50.073750000000004,0.151,60.0,7.561136250000001
205,50.073750000000004,0.151,786.42,7.561136250000001
206,77.53125,0.276,60.0,21.398625000000003
207,104.40375000000002,0.395,60.0,41.23948125000001
208,49.254374999999996,0.156,60.0,7.6836825
209,77.85187499999999,0.26,60.0,20.241487499999998
210,107.90062500000002,0.455,60.0,49.09478437500001
211,107.82562500000002,0.444,60.0,47.87457750000001
212,89.68125,0.32,60.0,28.698000000000004
213,108.05249999999998,0.443,60.0,47.867257499999994
214,107.90062500000002,0.448,60.0,48.33948000000001
215,107.979375,0.455,60.0,49.130615625000004
216,105.733125,0.406,60.0,42.92764875
217,107.98125,0.45,60.0,48.5915625
218,106.0575,0.413,60.0,43.8017475
219,107.979375,0.45,60.0,48.59071875
220,107.9025,0.43,60.0,46.398075
221,77.85187499999999,0.272,60.0,21.17571
222,107.58,0.436,60.0,46.90488
223,49.666875,0.142,60.0,7.0526962499999994
224,49.666875,0.153,60.0,7.599031875
225,81.59625,0.282,60.0,23.010142499999997
226,51.294375,0.147,60.0,7.540273125
227,51.294375,0.157,60.0,8.053216875
228,87.31875,0.305,60.0,26.632218749999996
229,50.071875,0.155,60.0,7.7611406249999995
230,107.979375,0.423,60.0,45.675275625
231,81.594375,0.261,60.0,21.296131875
232,50.887499999999996,0.156,60.0,7.93845
233,50.887499999999996,0.146,60.0,7.429574999999999
234,51.29625,0.151,60.0,7.745733749999999
235,49.665,0.144,60.0,7.1517599999999995
236,107.904375,0.431,60.0,46.506785625
237,49.663125,0.147,60.0,7.300479375
238,108.795,0.439,60.0,47.761005000000004
239,107.82374999999999,0.448,60.0,48.30504
240,108.66749999999999,0.434,60.0,47.161694999999995
241,100.3425,0.368,60.0,36.92604
242,109.03687499999998,0.429,60.0,46.77681937499999
243,97.3875,0.344,60.0,33.5013
244,76.89,0.229,60.0,17.60781
245,77.85375,0.234,60.0,18.217777500000004
246,85.670625,0.283,60.0,24.244786875
247,85.389375,0.278,60.0,23.738246250000003
248,85.670625,0.27,60.0,23.13106875
249,49.665,0.153,60.0,7.598745
250,85.66687499999999,0.299,60.0,25.614395624999997
251,49.25625,0.14,60.0,6.895875000000001
252,49.254374999999996,0.149,60.0,7.3389018749999995
253,78.703125,0.279,60.0,21.958171875
254,105.94874999999999,0.397,60.0,42.06165375
255,107.98125,0.421,60.0,45.46010625
256,105.50249999999998,0.388,60.0,40.93496999999999
257,108.609375,0.425,60.0,46.158984374999996
258,50.887499999999996,0.156,60.0,7.93845
259,50.89125,0.146,60.0,7.4301224999999995
260,49.25625,0.147,60.0,7.24066875
261,107.89875000000002,0.419,60.0,45.209576250000005
262,107.413125,0.418,60.0,44.89868625
263,85.955625,0.296,60.0,25.442864999999998
264,107.975625,0.418,60.0,45.133811249999994
265,109.02000000000001,0.442,60.0,48.186840000000004
266,85.3875,0.283,60.0,24.1646625
267,107.896875,0.425,60.0,45.856171874999994
268,107.971875,0.417,60.0,45.024271875
269,80.0625,0.255,60.0,20.415937500000002
270,107.98125,0.416,60.0,44.9202
271,105.7275,0.399,60.0,42.1852725
272,85.393125,0.28,60.0,23.910075000000003
273,104.40562500000001,0.384,60.0,40.09176000000001
274,107.979375,0.416,60.0,44.91942
275,104.791875,0.385,60.0,40.344871875
276,107.90062500000002,0.411,60.0,44.347156875
277,107.9775,0.425,60.0,45.890437500000004
278,107.98125,0.425,60.0,45.89203125
279,105.27375000000002,0.375,60.0,39.47765625000001
280,107.49187499999998,0.431,60.0,46.32899812499999
281,107.81999999999998,0.433,60.0,46.68605999999999
282,85.389375,0.27,60.0,23.055131250000002
283,107.89875000000002,0.425,60.0,45.85696875000001
284,95.529375,0.345,60.0,32.957634375
285,85.66875,0.262,60.0,22.4452125
286,107.9025,0.428,60.0,46.18227
287,107.82750000000001,0.425,60.0,45.826687500000006
288,83.37937500000001,0.271,60.0,22.595810625000006
289,102.8925,0.36,60.0,37.0413
290,106.7775,0.404,60.0,43.138110000000005
291,86.775,0.28,60.0,24.297000000000004
292,108.673125,0.429,60.0,46.620770625
293,105.38624999999999,0.39,60.0,41.1006375
294,108.61125,0.423,60.0,45.942558749999996
295,108.673125,0.44,60.0,47.816175
296,86.77312500000001,0.268,60.0,23.255197500000005
297,108.67125000000001,0.432,60.0,46.945980000000006
298,108.61125,0.424,60.0,46.05117
299,101.50687500000001,0.349,60.0,35.425899375
300,106.67437499999998,0.409,60.0,43.62981937499999
301,85.11,0.259,60.0,22.043490000000002
302,101.349375,0.356,60.0,36.0803775
303,107.904375,0.418,60.0,45.10402875
304,80.068125,0.229,60.0,18.335600624999998
305,101.67,0.348,60.0,35.38116
306,107.9025,0.425,60.0,45.8585625
307,84.825,0.275,60.0,23.326875
308,103.603125,0.385,60.0,39.887203125000006
309,107.9025,0.429,60.0,46.290172500000004
310,77.529375,0.23,60.0,17.83175625
311,109.5675,0.494,60.0,54.126345
312,107.904375,0.424,60.0,45.751455
313,107.81999999999998,0.426,60.0,45.93131999999999
314,107.81999999999998,0.426,786.42,45.93131999999999
315,107.821875,0.412,60.0,44.4226125
316,107.745,0.404,60.0,43.528980000000004
317,107.745,0.404,786.42,43.528980000000004
318,107.821875,0.418,60.0,45.06954375
319,107.82374999999999,0.417,60.0,44.962503749999996
320,85.3875,0.267,60.0,22.798462500000003
321,107.74125,0.412,60.0,44.38939499999999
322,107.90062500000002,0.419,60.0,45.210361875000004
323,86.22562500000001,0.29,60.0,25.00543125
324,101.349375,0.35,60.0,35.472281249999995
325,107.9025,0.424,60.0,45.75066
326,80.67937500000001,0.26,60.0,20.976637500000002
327,107.9025,0.408,60.0,44.02422
328,107.9025,0.41,60.0,44.240024999999996
329,89.18062499999999,0.307,60.0,27.378451874999996
330,106.27687499999999,0.382,60.0,40.59776625
331,104.13375,0.398,60.0,41.4452325
332,69.67875000000001,0.235,60.0,16.37450625
333,107.904375,0.417,60.0,44.996124375
334,107.9025,0.418,60.0,45.103245
335,108.478125,0.427,60.0,46.320159375
336,105.61875,0.383,60.0,40.45198125
337,108.85499999999999,0.42,60.0,45.7191
338,103.99875,0.372,60.0,38.687535
339,50.88937500000001,0.149,60.0,7.5825168750000005
340,92.13374999999999,0.31,60.0,28.561462499999998
341,51.294375,0.141,60.0,7.2325068749999994
342,85.3875,0.284,60.0,24.250049999999998
343,49.665,0.137,60.0,6.804105000000001
344,49.665,0.14,60.0,6.953100000000001
345,77.535,0.243,60.0,18.841005
346,49.254374999999996,0.141,60.0,6.944866874999999
347,49.25625,0.14,60.0,6.895875000000001
348,81.8925,0.277,60.0,22.6842225
349,49.665,0.138,60.0,6.853770000000001
350,49.252500000000005,0.146,60.0,7.1908650000000005
351,79.126875,0.238,60.0,18.83219625
352,49.665,0.147,60.0,7.300755
353,49.254374999999996,0.147,60.0,7.240393124999999
354,48.845625,0.141,60.0,6.887233124999999
355,104.533125,0.397,60.0,41.499650625
356,49.665,0.145,60.0,7.2014249999999995
357,71.075625,0.252,60.0,17.911057500000002
358,107.745,0.442,60.0,47.623290000000004
359,107.82374999999999,0.435,60.0,46.903331249999994
360,107.319375,0.442,60.0,47.43516375
361,88.3875,0.306,60.0,27.046575
362,107.66437500000002,0.409,60.0,44.034729375000005
363,51.29625,0.143,60.0,7.335363749999999
364,78.703125,0.285,60.0,22.430390624999998
365,50.480625,0.152,60.0,7.673055000000001
366,50.88937500000001,0.159,60.0,8.091410625000002
367,79.75500000000001,0.25,60.0,19.938750000000002
368,50.88937500000001,0.158,60.0,8.040521250000001
369,50.893125000000005,0.164,60.0,8.3464725
370,50.88937500000001,0.149,60.0,7.5825168750000005
371,50.89125,0.157,60.0,7.98992625
372,86.21062500000001,0.289,60.0,24.914870625
373,49.25625,0.143,60.0,7.043643749999999
374,49.25625,0.144,60.0,7.092899999999999
375,49.25812499999999,0.158,60.0,7.782783749999999
376,107.821875,0.431,60.0,46.471228125
377,101.18812499999999,0.383,60.0,38.75505187499999
378,107.821875,0.438,60.0,47.225981250000004
379,107.82374999999999,0.433,60.0,46.68768375
380,87.853125,0.309,60.0,27.146615625000003
381,103.45874999999998,0.389,60.0,40.245453749999996
382,108.729375,0.466,60.0,50.66788875
383,87.046875,0.294,60.0,25.591781249999997
384,108.545625,0.445,60.0,48.302803125000004
385,105.028125,0.39,60.0,40.96096875
386,80.37375,0.251,60.0,20.17381125
387,107.821875,0.433,60.0,46.686871875
388,107.821875,0.433,60.0,46.686871875
389,79.753125,0.252,60.0,20.0977875
390,98.54062499999999,0.354,60.0,34.88338124999999
391,107.82750000000001,0.435,60.0,46.9049625
392,107.82562500000002,0.435,60.0,46.90414687500001
393,101.668125,0.374,60.0,38.02387875
394,106.4775,0.429,60.0,45.6788475
395,107.82750000000001,0.44,60.0,47.444100000000006
396,101.349375,0.368,60.0,37.296569999999996
397,107.90625,0.452,60.0,48.773625
398,107.82374999999999,0.45,60.0,48.520687499999994
399,79.125,0.249,60.0,19.702125
400,108.613125,0.45,60.0,48.87590625
401,108.47999999999999,0.458,60.0,49.68384
402,84.25687500000001,0.266,60.0,22.412328750000004
403,106.77375000000002,0.43,60.0,45.912712500000005
404,108.73125,0.463,60.0,50.342568750000005
405,108.73125,0.463,786.42,50.342568750000005
406,108.545625,0.444,60.0,48.1942575
407,108.485625,0.457,60.0,49.577930625
408,87.04875,0.281,60.0,24.460698750000002
409,108.54937499999998,0.447,60.0,48.521570624999995
410,106.07062500000002,0.402,60.0,42.64039125000001
411,106.87125,0.415,60.0,44.35156875
412,108.41437500000002,0.445,60.0,48.24439687500001
413,102.59437499999999,0.378,60.0,38.78067374999999
414,108.73687499999998,0.454,60.0,49.36654125
415,107.979375,0.429,60.0,46.323151875
416,107.821875,0.439,60.0,47.333803125
417,107.821875,0.447,60.0,48.196378125
418,92.61,0.328,60.0,30.37608
419,107.90625,0.436,60.0,47.047125
420,107.82374999999999,0.442,60.0,47.6580975
421,83.38312499999999,0.264,60.0,22.013144999999998
422,107.746875,0.442,60.0,47.62411875
423,105.271875,0.411,60.0,43.266740625
424,78.49125000000001,0.274,60.0,21.506602500000003
425,107.81999999999998,0.451,60.0,48.626819999999995
426,105.94874999999999,0.416,60.0,44.074679999999994
427,85.108125,0.273,60.0,23.234518125
428,107.82562500000002,0.448,60.0,48.30588000000001
429,107.746875,0.448,60.0,48.2706
430,108.54749999999999,0.441,60.0,47.86944749999999
431,108.54375,0.45,60.0,48.8446875
432,108.48187500000002,0.455,60.0,49.35925312500001
433,108.47999999999999,0.443,60.0,48.056639999999994
434,108.61125,0.455,60.0,49.41811875
435,106.27312499999998,0.422,60.0,44.84725874999999
436,108.545625,0.466,60.0,50.58226125
437,108.545625,0.449,60.0,48.736985625
438,108.48187500000002,0.439,60.0,47.623543125000005
