time,voltage,current,frequency,power
0,50.465624999999996,0.003,60.0,0.151396875
1,101.95125,0.007,60.0,0.71365875
2,80.96062500000001,0.005,60.0,0.40480312500000004
3,105.350625,0.007,60.0,0.737454375
4,108.165,0.007,60.0,0.757155
5,105.12,0.007,60.0,0.73584
6,79.10062500000001,0.005,60.0,0.39550312500000007
7,108.238125,0.007,60.0,0.757666875
8,102.10687500000002,0.007,60.0,0.7147481250000002
9,108.165,0.007,60.0,0.757155
10,82.4625,0.005,60.0,0.4123125
11,109.47,0.008,60.0,0.87576
12,99.07312499999999,0.006,60.0,0.5944387499999999
13,102.10875000000001,0.007,60.0,0.7147612500000001
14,53.30437500000001,0.003,60.0,0.15991312500000002
15,97.54875,0.006,60.0,0.5852925
16,109.04625000000001,0.007,60.0,0.7633237500000001
17,108.45,0.007,60.0,0.75915
18,108.01875,0.007,60.0,0.75613125
19,103.831875,0.007,60.0,0.726823125
20,101.47875,0.007,60.0,0.7103512500000001
21,107.87437500000001,0.007,60.0,0.7551206250000001
22,50.05875,0.003,60.0,0.15017625
23,85.921875,0.006,60.0,0.51553125
24,108.020625,0.007,60.0,0.756144375
25,108.095625,0.007,60.0,0.756669375
26,93.5175,0.006,60.0,0.561105
27,86.74499999999999,0.006,60.0,0.52047
28,102.70874999999998,0.007,60.0,0.7189612499999999
29,108.6375,0.007,60.0,0.7604625
30,107.109375,0.007,60.0,0.749765625
31,80.349375,0.005,60.0,0.401746875
32,103.854375,0.007,60.0,0.726980625
33,95.293125,0.006,60.0,0.57175875
34,96.75,0.006,60.0,0.5805
35,87.560625,0.005,60.0,0.437803125
36,108.635625,0.007,60.0,0.7604493750000001
37,101.47875,0.007,60.0,0.7103512500000001
38,107.87250000000002,0.007,60.0,0.7551075000000002
39,107.94562500000002,0.007,60.0,0.7556193750000002
40,107.87062499999999,0.007,60.0,0.755094375
41,107.94750000000002,0.007,60.0,0.7556325000000002
42,105.238125,0.007,60.0,0.7366668749999999
43,107.949375,0.007,60.0,0.755645625
44,85.925625,0.006,60.0,0.51555375
45,107.94750000000002,0.007,60.0,0.7556325000000002
46,107.94750000000002,0.007,60.0,0.7556325000000002
47,107.795625,0.007,60.0,0.754569375
48,87.29249999999999,0.006,60.0,0.523755
49,104.625,0.007,60.0,0.732375
