time,voltage,current,frequency,power
0,49.663125,0.202,60.0,10.03195125
1,108.346875,0.6,60.0,65.00812499999999
2,103.471875,0.552,60.0,57.116475
3,105.61687499999998,0.554,60.0,58.511748749999995
4,105.50812500000002,0.554,60.0,58.451501250000014
5,108.9675,0.631,60.0,68.7584925
6,83.67375,0.387,60.0,32.38174125
7,109.02375000000002,0.633,60.0,69.01203375000001
8,103.31999999999998,0.528,60.0,54.55295999999999
9,108.73499999999999,0.628,60.0,68.28558
10,81.29625,0.397,60.0,32.27461125
11,106.86937500000002,0.582,60.0,62.19797625000001
12,108.913125,0.614,60.0,66.87265875
13,108.9675,0.622,60.0,67.777785
14,80.98875000000001,0.359,60.0,29.07496125
15,108.909375,0.616,60.0,67.08817499999999
16,108.271875,0.623,60.0,67.453378125
17,109.498125,0.627,60.0,68.655324375
18,85.39125,0.401,60.0,34.24189125
19,105.50625,0.557,60.0,58.76698125
20,106.48499999999999,0.568,60.0,60.483479999999986
21,108.05625,0.606,60.0,65.4820875
22,85.95,0.428,60.0,36.7866
23,107.323125,0.599,60.0,64.286551875
24,107.4075,0.602,60.0,64.65931499999999
25,107.49562499999999,0.606,60.0,65.14234875
26,82.786875,0.362,60.0,29.968848749999996
27,103.84875,0.626,60.0,65.0093175
28,108.05625,0.613,60.0,66.23848125
29,107.9025,0.617,60.0,66.57584250000001
30,65.69250000000001,0.328,60.0,21.547140000000002
31,50.4825,0.203,60.0,10.2479475
32,50.075624999999995,0.211,60.0,10.565956875
33,50.075624999999995,0.219,60.0,10.966561874999998
34,50.4825,0.205,60.0,10.348912499999999
35,86.503125,0.409,60.0,35.379778124999994
36,50.071875,0.217,60.0,10.865596875
37,50.075624999999995,0.211,60.0,10.565956875
38,49.665,0.203,60.0,10.081995000000001
39,56.91375000000001,0.252,60.0,14.342265000000001
40,52.10812500000001,0.206,60.0,10.734273750000002
41,50.075624999999995,0.214,60.0,10.716183749999999
42,50.075624999999995,0.217,60.0,10.866410624999999
43,74.91749999999999,0.309,60.0,23.149507499999995
44,109.91437500000002,0.397,60.0,43.636006875000014
45,107.37937500000001,0.416,60.0,44.66982
46,122.878125,0.416,785.6640000000001,51.11729999999999
47,122.878125,0.416,786.42,51.11729999999999
48,122.878125,0.416,786.42,51.11729999999999
49,122.878125,0.416,786.42,51.11729999999999
50,122.878125,0.416,786.42,51.11729999999999
51,84.53812500000001,0.397,60.0,33.56163562500001
52,108.795,0.615,60.0,66.908925
53,106.475625,0.568,60.0,60.478154999999994
54,109.53562500000001,0.645,60.0,70.650478125
55,85.67625000000001,0.388,60.0,33.242385000000006
56,109.404375,0.646,60.0,70.67522625000001
57,105.15187499999999,0.547,60.0,57.518075625
58,107.9775,0.599,60.0,64.6785225
59,108.05249999999998,0.596,60.0,64.39928999999998
60,107.979375,0.62,786.42,66.9472125
61,96.375,0.469,60.0,45.199875
62,108.050625,0.603,60.0,65.154526875
63,108.12749999999998,0.616,60.0,66.60654
64,86.22375000000001,0.384,60.0,33.10992
65,101.82374999999999,0.541,60.0,55.086648749999995
66,108.05625,0.595,60.0,64.29346875
67,108.12937500000001,0.607,60.0,65.63453062500001
68,86.77687499999999,0.401,60.0,34.797526874999996
69,108.79125000000002,0.624,60.0,67.88574000000001
70,108.853125,0.627,60.0,68.250909375
71,122.878125,0.627,786.42,77.044584375
72,84.253125,0.36,60.0,30.331124999999997
