time,voltage,current,frequency,power
0,50.086875,0.204,60.0,10.217722499999999
1,108.51000000000002,0.603,60.0,65.43153000000001
2,91.685625,0.434,60.0,39.79156125
3,109.15687499999999,0.6,60.0,65.49412499999998
4,106.60124999999998,0.563,60.0,60.016503749999984
5,107.085,0.555,60.0,59.432175
6,88.674375,0.405,60.0,35.913121875
7,109.1025,0.604,60.0,65.89791
8,109.15874999999998,0.613,60.0,66.91431374999999
9,109.104375,0.6,60.0,65.462625
10,88.93312499999999,0.41,60.0,36.46258124999999
11,109.104375,0.627,60.0,68.408443125
12,108.823125,0.58,60.0,63.1174125
13,107.7825,0.585,60.0,63.05276249999999
14,83.69624999999999,0.362,60.0,30.298042499999998
15,109.569375,0.627,60.0,68.699998125
16,63.5025,0.271,60.0,17.2091775
17,108.440625,0.591,60.0,64.088409375
18,106.0875,0.539,60.0,57.181162500000006
19,107.765625,0.59,60.0,63.58171874999999
20,108.230625,0.593,60.0,64.180760625
21,108.4425,0.597,60.0,64.7401725
22,106.60499999999999,0.552,60.0,58.84596
23,84.568125,0.402,60.0,33.99638625
24,108.29625000000001,0.599,60.0,64.86945375
25,108.36937500000002,0.596,60.0,64.5881475
26,107.083125,0.578,60.0,61.894046249999995
27,83.69812499999999,0.357,60.0,29.880230624999996
28,108.230625,0.602,60.0,65.15483625
29,108.37125,0.601,60.0,65.13112125
30,108.3,0.601,60.0,65.08829999999999
31,87.6075,0.407,60.0,35.6562525
32,108.825,0.603,60.0,65.621475
33,108.823125,0.621,60.0,67.579160625
34,108.939375,0.609,60.0,66.34407937499999
35,88.14375,0.39,60.0,34.3760625
36,110.18999999999998,0.69,60.0,76.03109999999998
37,108.87937500000001,0.605,60.0,65.872021875
38,108.88125,0.623,60.0,67.83301875
39,87.06750000000001,0.423,60.0,36.829552500000005
40,105.29249999999999,0.535,60.0,56.331487499999994
41,108.99562499999999,0.616,60.0,67.14130499999999
42,103.06125,0.522,60.0,53.7979725
43,80.38875,0.378,60.0,30.3869475
44,108.825,0.626,60.0,68.12445
45,108.87937500000001,0.605,60.0,65.872021875
46,108.94125,0.621,60.0,67.65251624999999
47,79.14750000000001,0.376,60.0,29.759460000000004
48,106.29749999999999,0.565,60.0,60.058087499999985
49,103.62937500000001,0.528,60.0,54.71631000000001
50,106.993125,0.576,60.0,61.62804
51,108.298125,0.62,60.0,67.1448375
52,108.301875,0.592,60.0,64.11470999999999
53,108.225,0.603,60.0,65.259675
54,107.77687499999999,0.59,60.0,63.58835624999999
55,108.22687500000002,0.593,60.0,64.178536875
56,85.41375000000001,0.375,60.0,32.030156250000005
57,108.230625,0.606,60.0,65.58775875
58,108.22687500000002,0.597,60.0,64.611444375
59,108.301875,0.612,60.0,66.28074749999999
60,86.52374999999999,0.387,60.0,33.48469125
61,108.08062499999998,0.616,60.0,66.57766499999998
62,108.15375000000002,0.619,60.0,66.94717125000001
63,108.22687500000002,0.597,786.42,64.611444375
64,78.515625,0.352,60.0,27.6375
65,108.2325,0.604,60.0,65.37243
66,108.1575,0.593,60.0,64.13739749999999
67,108.298125,0.621,61.42799999999999,67.253135625
68,82.51875,0.397,60.0,32.75994375
69,108.163125,0.615,60.0,66.520321875
70,108.15375000000002,0.597,60.0,64.56778875
71,108.22875000000002,0.608,60.0,65.80308000000001
72,86.248125,0.403,60.0,34.757994375
73,108.22875000000002,0.603,60.0,65.26193625
74,108.22687500000002,0.6,60.0,64.936125
75,108.2325,0.618,60.0,66.887685
76,87.875625,0.44,60.0,38.665275
77,108.298125,0.606,60.0,65.62866375
78,108.373125,0.605,60.0,65.565740625
79,108.301875,0.605,784.8960000000001,65.522634375
80,86.53125,0.402,60.0,34.785562500000005
81,108.22124999999998,0.619,60.0,66.98895375
82,108.215625,0.008,60.0,0.8657250000000001
83,108.3075,0.584,60.0,63.25158
84,108.3,0.623,60.0,67.4709
85,108.3075,0.597,60.0,64.6595775
86,108.23625,0.615,60.0,66.56529375
87,108.31312499999999,0.622,60.0,67.37076375
88,108.444375,0.622,786.42,67.45240125
89,86.25375,0.38,60.0,32.776424999999996
90,108.234375,0.609,60.0,65.914734375
91,108.3075,0.614,60.0,66.500805
92,108.376875,0.614,786.42,66.54340125
93,88.408125,0.403,60.0,35.628474375
94,105.76124999999999,0.568,60.0,60.07238999999999
95,108.305625,0.611,60.0,66.17473687500001
96,108.23625,0.602,60.0,65.1582225
97,86.255625,0.388,60.0,33.4671825
98,108.23625,0.616,60.0,66.67353
99,108.23625,0.61,786.42,66.0241125
100,94.47749999999999,0.486,60.0,45.916064999999996
101,86.53125,0.423,60.0,36.60271875
102,108.305625,0.6,60.0,64.983375
103,108.3075,0.624,60.0,67.58388000000001
104,108.163125,0.624,786.42,67.49378999999999
105,88.14562500000001,0.41,60.0,36.13970625
106,108.309375,0.61,60.0,66.06871875
107,106.194375,0.569,60.0,60.42459937499999
108,108.08812500000002,0.605,60.0,65.39331562500001
109,78.519375,0.378,60.0,29.68032375
110,108.23625,0.614,60.0,66.4570575
111,108.30375,0.625,60.0,67.68984375
112,104.04,0.527,60.0,54.829080000000005
113,78.83250000000001,0.347,60.0,27.3548775
114,108.23625,0.609,60.0,65.91587625
115,108.2325,0.613,60.0,66.3465225
116,108.23625,0.607,786.42,65.69940375
117,111.358125,0.607,786.42,67.594381875
118,104.6925,0.548,393.204,57.37149
119,108.230625,0.628,60.0,67.9688325
120,108.163125,0.628,786.42,67.9264425
121,108.16125,0.601,60.0,65.00491124999999
122,100.8825,0.514,60.0,51.853604999999995
