On Time,Off Time,Running Duration,Off Duration
2020-12-04 00:32:37+00:00,2020-12-04 01:06:56+00:00,0:34:19,0:31:36
2020-12-04 01:38:32+00:00,2020-12-04 02:18:17+00:00,0:39:45,0:32:05
2020-12-04 02:50:22+00:00,2020-12-04 03:30:17+00:00,0:39:55,0:32:38
2020-12-04 04:02:55+00:00,2020-12-04 04:42:53+00:00,0:39:58,0:32:36
2020-12-04 05:15:29+00:00,2020-12-04 05:55:28+00:00,0:39:59,0:32:38
2020-12-04 06:28:06+00:00,2020-12-04 07:07:25+00:00,0:39:19,0:32:39
2020-12-04 07:40:04+00:00,2020-12-04 08:19:20+00:00,0:39:16,0:32:25
2020-12-04 08:51:45+00:00,2020-12-04 09:30:41+00:00,0:38:56,0:32:52
2020-12-04 10:03:33+00:00,2020-12-04 10:41:44+00:00,0:38:11,0:32:41
2020-12-04 11:14:25+00:00,2020-12-04 11:52:06+00:00,0:37:41,0:32:28
2020-12-04 12:24:34+00:00,2020-12-04 13:06:41+00:00,0:42:07,0:04:48
2020-12-04 13:11:29+00:00,2020-12-04 14:30:03+00:00,1:18:34,0:27:29
2020-12-04 14:57:32+00:00,2020-12-04 15:43:24+00:00,0:45:52,0:24:21
2020-12-04 16:07:45+00:00,2020-12-04 16:07:46+00:00,0:00:01,0:05:43
2020-12-04 16:13:29+00:00,2020-12-04 16:56:02+00:00,0:42:33,0:31:09
2020-12-04 17:27:11+00:00,2020-12-04 18:08:14+00:00,0:41:03,0:31:10
2020-12-04 18:39:24+00:00,2020-12-04 19:20:42+00:00,0:41:18,0:31:51
2020-12-04 19:52:33+00:00,2020-12-04 20:32:53+00:00,0:40:20,0:31:53
2020-12-04 21:04:46+00:00,2020-12-04 21:44:51+00:00,0:40:05,0:32:06
2020-12-04 22:16:57+00:00,2020-12-04 22:56:59+00:00,0:40:02,0:32:15
2020-12-04 23:29:14+00:00,2020-12-05 00:08:29+00:00,0:39:15,0:32:20
2020-12-05 00:40:49+00:00,2020-12-05 01:20:01+00:00,0:39:12,0:32:46
2020-12-05 01:52:47+00:00,2020-12-05 02:31:09+00:00,0:38:22,0:32:13
2020-12-05 03:03:22+00:00,2020-12-05 03:42:08+00:00,0:38:46,0:32:35
2020-12-05 04:14:43+00:00,2020-12-05 04:52:56+00:00,0:38:13,0:32:36
2020-12-05 05:25:32+00:00,2020-12-05 06:03:50+00:00,0:38:18,0:32:10
2020-12-05 06:36:00+00:00,2020-12-05 07:14:14+00:00,0:38:14,0:32:55
2020-12-05 07:47:09+00:00,2020-12-05 08:25:23+00:00,0:38:14,0:32:33
2020-12-05 08:57:56+00:00,2020-12-05 09:27:25+00:00,0:29:29,0:38:25
2020-12-05 10:05:50+00:00,2020-12-05 10:26:27+00:00,0:20:37,0:37:31
2020-12-05 11:03:58+00:00,2020-12-05 11:41:42+00:00,0:37:44,0:32:29
