On Time,Off Time,Running Duration,Off Duration
2021-01-20 00:00:58+00:00,2021-01-20 00:05:48+00:00,0:04:50,0:13:12
2021-01-20 00:19:00+00:00,2021-01-20 00:24:21+00:00,0:05:21,0:12:37
2021-01-20 00:36:58+00:00,2021-01-20 00:41:32+00:00,0:04:34,0:13:13
2021-01-20 00:54:45+00:00,2021-01-20 00:59:22+00:00,0:04:37,0:13:09
2021-01-20 01:12:31+00:00,2021-01-20 01:16:46+00:00,0:04:15,0:13:14
2021-01-20 01:30:00+00:00,2021-01-20 01:34:56+00:00,0:04:56,0:12:32
2021-01-20 01:47:28+00:00,2021-01-20 01:52:11+00:00,0:04:43,0:13:29
2021-01-20 02:05:40+00:00,2021-01-20 02:10:40+00:00,0:05:00,0:13:10
2021-01-20 02:23:50+00:00,2021-01-20 02:28:42+00:00,0:04:52,0:13:09
2021-01-20 02:41:51+00:00,2021-01-20 02:46:26+00:00,0:04:35,0:13:12
2021-01-20 02:59:38+00:00,2021-01-20 03:04:44+00:00,0:05:06,0:12:44
2021-01-20 03:17:28+00:00,2021-01-20 03:21:53+00:00,0:04:25,0:13:35
2021-01-20 03:35:28+00:00,2021-01-20 03:40:13+00:00,0:04:45,0:13:08
2021-01-20 03:53:21+00:00,2021-01-20 03:58:31+00:00,0:05:10,0:12:40
2021-01-20 04:11:11+00:00,2021-01-20 04:15:31+00:00,0:04:20,0:13:21
2021-01-20 04:28:52+00:00,2021-01-20 04:33:48+00:00,0:04:56,0:12:48
2021-01-20 04:46:36+00:00,2021-01-20 04:51:50+00:00,0:05:14,0:12:41
2021-01-20 05:04:31+00:00,2021-01-20 05:09:26+00:00,0:04:55,0:12:56
2021-01-20 05:22:22+00:00,2021-01-20 05:26:38+00:00,0:04:16,0:13:33
2021-01-20 05:40:11+00:00,2021-01-20 05:45:17+00:00,0:05:06,0:12:37
2021-01-20 05:57:54+00:00,2021-01-20 06:02:36+00:00,0:04:42,0:13:24
2021-01-20 06:16:00+00:00,2021-01-20 06:20:50+00:00,0:04:50,0:13:04
2021-01-20 06:33:54+00:00,2021-01-20 06:38:56+00:00,0:05:02,0:12:46
2021-01-20 06:51:42+00:00,2021-01-20 06:56:34+00:00,0:04:52,0:12:48
2021-01-20 07:09:22+00:00,2021-01-20 07:13:29+00:00,0:04:07,0:13:29
2021-01-20 07:26:58+00:00,2021-01-20 07:31:34+00:00,0:04:36,0:13:32
2021-01-20 07:45:06+00:00,2021-01-20 07:49:46+00:00,0:04:40,0:13:30
2021-01-20 08:03:16+00:00,2021-01-20 08:08:00+00:00,0:04:44,0:13:12
2021-01-20 08:21:12+00:00,2021-01-20 08:26:26+00:00,0:05:14,0:12:46
2021-01-20 08:39:12+00:00,2021-01-20 08:44:02+00:00,0:04:50,0:13:06
2021-01-20 08:57:08+00:00,2021-01-20 09:02:34+00:00,0:05:26,0:12:51
2021-01-20 09:15:25+00:00,2021-01-20 09:19:45+00:00,0:04:20,0:13:25
2021-01-20 09:33:10+00:00,2021-01-20 09:38:06+00:00,0:04:56,0:13:33
2021-01-20 09:51:39+00:00,2021-01-20 09:56:07+00:00,0:04:28,0:13:43
2021-01-20 10:09:50+00:00,2021-01-20 10:14:54+00:00,0:05:04,0:12:58
2021-01-20 10:27:52+00:00,2021-01-20 10:32:07+00:00,0:04:15,0:13:39
2021-01-20 10:45:46+00:00,2021-01-20 10:50:05+00:00,0:04:19,0:13:02
