On Time,Off Time,Running Duration,Off Duration
2020-12-23 16:51:34+00:00,2020-12-23 16:58:36+00:00,0:07:02,0:29:53
2020-12-23 17:28:29+00:00,2020-12-23 17:35:54+00:00,0:07:25,0:29:59
2020-12-23 18:05:53+00:00,2020-12-23 18:13:03+00:00,0:07:10,0:29:23
2020-12-23 18:42:26+00:00,2020-12-23 18:49:40+00:00,0:07:14,0:30:00
2020-12-23 19:19:40+00:00,2020-12-23 19:26:33+00:00,0:06:53,0:30:10
2020-12-23 19:56:43+00:00,2020-12-23 20:06:28+00:00,0:09:45,0:16:40
2020-12-23 20:23:08+00:00,2020-12-23 20:31:19+00:00,0:08:11,0:17:44
2020-12-23 20:49:03+00:00,2020-12-23 20:56:29+00:00,0:07:26,0:18:39
2020-12-23 21:15:08+00:00,2020-12-23 21:22:24+00:00,0:07:16,0:19:58
2020-12-23 21:42:22+00:00,2020-12-23 21:49:21+00:00,0:06:59,0:20:46
2020-12-23 22:10:07+00:00,2020-12-23 22:17:04+00:00,0:06:57,0:20:57
2020-12-23 22:38:01+00:00,2020-12-23 22:45:08+00:00,0:07:07,0:21:46
2020-12-23 23:06:54+00:00,2020-12-23 23:14:27+00:00,0:07:33,0:22:24
2020-12-23 23:36:51+00:00,2020-12-23 23:44:07+00:00,0:07:16,0:23:30
2020-12-24 00:07:37+00:00,2020-12-24 00:14:59+00:00,0:07:22,0:23:38
2020-12-24 00:38:37+00:00,2020-12-24 00:45:36+00:00,0:06:59,0:23:31
2020-12-24 01:09:07+00:00,2020-12-24 01:16:02+00:00,0:06:55,0:23:06
2020-12-24 01:39:08+00:00,2020-12-24 01:46:26+00:00,0:07:18,0:23:00
2020-12-24 02:09:26+00:00,2020-12-24 02:16:24+00:00,0:06:58,0:23:42
2020-12-24 02:40:06+00:00,2020-12-24 02:46:59+00:00,0:06:53,0:23:54
2020-12-24 03:10:53+00:00,2020-12-24 03:18:11+00:00,0:07:18,0:23:38
2020-12-24 03:41:49+00:00,2020-12-24 03:48:26+00:00,0:06:37,0:23:26
2020-12-24 04:11:52+00:00,2020-12-24 04:18:43+00:00,0:06:51,0:23:56
2020-12-24 04:42:39+00:00,2020-12-24 04:49:47+00:00,0:07:08,0:24:25
2020-12-24 05:14:12+00:00,2020-12-24 05:21:09+00:00,0:06:57,0:24:57
2020-12-24 05:46:06+00:00,2020-12-24 05:52:50+00:00,0:06:44,0:25:25
2020-12-24 06:18:15+00:00,2020-12-24 06:24:56+00:00,0:06:41,0:25:46
2020-12-24 06:50:42+00:00,2020-12-24 06:57:31+00:00,0:06:49,0:26:26
2020-12-24 07:23:57+00:00,2020-12-24 07:30:44+00:00,0:06:47,0:26:28
2020-12-24 07:57:12+00:00,2020-12-24 08:03:58+00:00,0:06:46,0:25:56
2020-12-24 08:29:54+00:00,2020-12-24 08:36:28+00:00,0:06:34,0:26:35
2020-12-24 09:03:03+00:00,2020-12-24 09:09:40+00:00,0:06:37,0:25:35
2020-12-24 09:35:15+00:00,2020-12-24 09:42:00+00:00,0:06:45,0:25:34
2020-12-24 10:07:34+00:00,2020-12-24 10:14:20+00:00,0:06:46,0:25:42
2020-12-24 10:40:02+00:00,2020-12-24 10:46:42+00:00,0:06:40,0:26:12
2020-12-24 11:12:54+00:00,2020-12-24 11:19:47+00:00,0:06:53,0:23:29
2020-12-24 11:43:16+00:00,2020-12-24 11:50:12+00:00,0:06:56,0:25:59
2020-12-24 12:16:11+00:00,2020-12-24 12:22:55+00:00,0:06:44,0:24:28
2020-12-24 12:47:23+00:00,2020-12-24 12:54:03+00:00,0:06:40,0:26:17
2020-12-24 13:20:20+00:00,2020-12-24 13:27:30+00:00,0:07:10,0:25:59
2020-12-24 13:53:29+00:00,2020-12-24 14:00:11+00:00,0:06:42,0:26:10
2020-12-24 14:26:21+00:00,2020-12-24 14:32:54+00:00,0:06:33,0:25:30
2020-12-24 14:58:24+00:00,2020-12-24 15:05:12+00:00,0:06:48,0:25:32
2020-12-24 15:30:44+00:00,2020-12-24 15:37:42+00:00,0:06:58,0:25:41
2020-12-24 16:03:23+00:00,2020-12-24 16:09:53+00:00,0:06:30,0:26:26
2020-12-24 16:36:19+00:00,2020-12-24 16:42:53+00:00,0:06:34,0:26:55
2020-12-24 17:09:48+00:00,2020-12-24 17:16:51+00:00,0:07:03,0:25:44
2020-12-24 17:42:35+00:00,2020-12-24 17:49:48+00:00,0:07:13,0:27:27
2020-12-24 18:17:15+00:00,2020-12-24 18:24:35+00:00,0:07:20,0:27:43
2020-12-24 18:52:18+00:00,2020-12-24 18:59:15+00:00,0:06:57,0:28:07
2020-12-24 19:27:22+00:00,2020-12-24 19:34:04+00:00,0:06:42,0:28:37
2020-12-24 20:02:41+00:00,2020-12-24 20:09:38+00:00,0:06:57,0:28:36
2020-12-24 20:38:14+00:00,2020-12-24 20:45:06+00:00,0:06:52,0:28:55
2020-12-24 21:14:01+00:00,2020-12-24 21:20:33+00:00,0:06:32,0:28:24
2020-12-24 21:48:57+00:00,2020-12-24 21:55:29+00:00,0:06:32,0:28:05
2020-12-24 22:23:34+00:00,2020-12-24 22:30:04+00:00,0:06:30,0:28:15
2020-12-24 22:58:19+00:00,2020-12-24 23:05:01+00:00,0:06:42,0:28:37
2020-12-24 23:33:38+00:00,2020-12-24 23:40:37+00:00,0:06:59,0:28:34
2020-12-25 00:09:11+00:00,2020-12-25 00:16:18+00:00,0:07:07,0:29:18
2020-12-25 00:45:36+00:00,2020-12-25 00:52:54+00:00,0:07:18,0:29:33
2020-12-25 01:22:27+00:00,2020-12-25 01:29:15+00:00,0:06:48,0:30:13
2020-12-25 01:59:28+00:00,2020-12-25 02:06:28+00:00,0:07:00,0:30:44
2020-12-25 02:37:12+00:00,2020-12-25 02:44:36+00:00,0:07:24,0:31:00
2020-12-25 03:15:36+00:00,2020-12-25 03:22:53+00:00,0:07:17,0:30:48
2020-12-25 03:53:41+00:00,2020-12-25 04:00:30+00:00,0:06:49,0:30:55
2020-12-25 04:31:25+00:00,2020-12-25 04:38:11+00:00,0:06:46,0:31:15
2020-12-25 05:09:26+00:00,2020-12-25 05:16:14+00:00,0:06:48,0:31:26
2020-12-25 05:47:40+00:00,2020-12-25 05:54:44+00:00,0:07:04,0:31:27
2020-12-25 06:26:11+00:00,2020-12-25 06:33:21+00:00,0:07:10,0:31:11
2020-12-25 07:04:32+00:00,2020-12-25 07:11:11+00:00,0:06:39,0:30:48
2020-12-25 07:41:59+00:00,2020-12-25 07:49:23+00:00,0:07:24,0:30:41
2020-12-25 08:20:04+00:00,2020-12-25 08:26:55+00:00,0:06:51,0:31:15
2020-12-25 08:58:10+00:00,2020-12-25 09:05:12+00:00,0:07:02,0:30:51
2020-12-25 09:36:03+00:00,2020-12-25 09:42:55+00:00,0:06:52,0:32:10
2020-12-25 10:15:05+00:00,2020-12-25 10:22:02+00:00,0:06:57,0:31:18
2020-12-25 10:53:20+00:00,2020-12-25 11:00:18+00:00,0:06:58,0:31:46
2020-12-25 11:32:04+00:00,2020-12-25 11:38:34+00:00,0:06:30,0:30:46
2020-12-25 12:09:20+00:00,2020-12-25 12:16:04+00:00,0:06:44,0:31:24
